Booking ID,Customer ID,Booking Date,Check-in Date,Check-out Date,Booking Platform,Payment Method,Loyalty Membership Status,Room Type,Booking Amount,Discount Applied,Cancellation Status
BK00373,CUST4340,2/1/2024,2/26/2024,3/3/2024,Mobile App,PayPal,Platinum,Suite,886.71,20,No
BK00008,CUST1235,2/2/2024,2/29/2024,3/6/2024,Website,Points Redemption,Platinum,Suite,1465.74,5,No
BK00067,CUST5327,2/2/2024,2/3/2024,2/7/2024,Website,Points Redemption,Silver,Deluxe,1091.15,20,No
BK00113,CUST5370,2/2/2024,2/5/2024,2/7/2024,Mobile App,Points Redemption,Titanium,Suite,1315.11,15,No
BK00187,CUST1703,2/2/2024,2/23/2024,2/28/2024,Website,Points Redemption,Platinum,Deluxe,466.08,5,No
BK00281,CUST9627,2/2/2024,2/22/2024,2/28/2024,Third-Party OTA,Points Redemption,Silver,Presidential Suite,1239.63,10,No
BK00438,CUST2372,2/2/2024,3/1/2024,3/7/2024,Third-Party OTA,PayPal,Silver,Suite,1020.14,20,No
BK00456,CUST7832,2/2/2024,2/4/2024,2/12/2024,Website,Points Redemption,Gold,Deluxe,554.23,25,Yes
BK00136,CUST9752,2/3/2024,2/28/2024,3/2/2024,Mobile App,Points Redemption,Gold,Suite,776.77,0,No
BK00191,CUST4064,2/3/2024,2/9/2024,2/14/2024,Third-Party OTA,Points Redemption,Titanium,Deluxe,1404.46,25,Yes
BK00247,CUST7914,2/3/2024,2/18/2024,2/27/2024,Third-Party OTA,Bank Transfer,Gold,Deluxe,537.25,20,No
BK00449,CUST3909,2/3/2024,2/17/2024,2/19/2024,Mobile App,Points Redemption,Platinum,Presidential Suite,1277.86,25,Yes
BK00485,CUST3437,2/3/2024,2/4/2024,2/14/2024,Third-Party OTA,Credit Card,Platinum,Standard,736.76,25,No
BK00500,CUST1035,2/3/2024,2/10/2024,2/16/2024,Website,PayPal,Ambassador,Suite,1152.3,15,Yes
BK00062,CUST9867,2/5/2024,2/22/2024,2/27/2024,Third-Party OTA,PayPal,Non-Member,Deluxe,1461.83,10,No
BK00103,CUST3855,2/5/2024,2/7/2024,2/9/2024,Third-Party OTA,Credit Card,Platinum,Deluxe,148.47,10,No
BK00276,CUST1842,2/5/2024,3/2/2024,3/11/2024,Mobile App,Credit Card,Titanium,Standard,145.55,15,Yes
BK00297,CUST7783,2/5/2024,2/11/2024,2/18/2024,Website,PayPal,Ambassador,Presidential Suite,148.95,0,Yes
BK00391,CUST7218,2/5/2024,2/7/2024,2/13/2024,Third-Party OTA,PayPal,Titanium,Suite,585.65,25,No
BK00495,CUST1000,2/5/2024,2/28/2024,3/7/2024,Third-Party OTA,PayPal,Silver,Suite,792.43,5,No
BK00085,CUST3663,2/6/2024,2/23/2024,2/24/2024,Third-Party OTA,Points Redemption,Titanium,Deluxe,182.41,5,No
BK00234,CUST1307,2/6/2024,2/18/2024,2/28/2024,Mobile App,Bank Transfer,Ambassador,Presidential Suite,348.21,20,No
BK00251,CUST9867,2/6/2024,2/25/2024,3/5/2024,Third-Party OTA,Bank Transfer,Non-Member,Suite,751.5,10,Yes
BK00363,CUST9187,2/6/2024,2/21/2024,2/23/2024,Third-Party OTA,Points Redemption,Titanium,Standard,269.92,5,No
BK00378,CUST7706,2/6/2024,2/20/2024,2/25/2024,Website,Bank Transfer,Gold,Presidential Suite,661.38,10,Yes
BK00481,CUST1954,2/6/2024,2/11/2024,2/17/2024,Mobile App,Points Redemption,Titanium,Standard,1306.64,20,Yes
BK00031,CUST7967,2/7/2024,2/16/2024,2/26/2024,Third-Party OTA,PayPal,Non-Member,Deluxe,1071.95,15,Yes
BK00055,CUST4595,2/7/2024,3/7/2024,3/8/2024,Website,Credit Card,Silver,Deluxe,1095.8,5,Yes
BK00081,CUST5400,2/7/2024,3/1/2024,3/10/2024,Website,Bank Transfer,Silver,Deluxe,1277.61,5,No
BK00141,CUST3189,2/7/2024,3/1/2024,3/2/2024,Mobile App,PayPal,Platinum,Deluxe,586.81,5,No
BK00163,CUST5632,2/7/2024,2/23/2024,3/4/2024,Mobile App,Points Redemption,Titanium,Deluxe,982.34,5,Yes
BK00413,CUST7498,2/7/2024,2/26/2024,2/29/2024,Website,Bank Transfer,Titanium,Presidential Suite,413.61,25,Yes
BK00076,CUST4531,2/8/2024,3/1/2024,3/8/2024,Third-Party OTA,Bank Transfer,Titanium,Suite,990.36,5,Yes
BK00275,CUST6447,2/8/2024,3/9/2024,3/12/2024,Mobile App,Points Redemption,Non-Member,Deluxe,699.13,0,No
BK00380,CUST8985,2/8/2024,2/26/2024,3/2/2024,Mobile App,PayPal,Non-Member,Standard,396.54,0,Yes
BK00455,CUST1269,2/8/2024,2/11/2024,2/17/2024,Third-Party OTA,Credit Card,Non-Member,Standard,377.89,5,Yes
BK00018,CUST1537,2/9/2024,3/10/2024,3/13/2024,Website,Bank Transfer,Platinum,Presidential Suite,350.77,15,Yes
BK00087,CUST3307,2/9/2024,2/15/2024,2/21/2024,Website,Points Redemption,Ambassador,Standard,358.17,20,Yes
BK00147,CUST2169,2/9/2024,3/5/2024,3/13/2024,Third-Party OTA,Bank Transfer,Gold,Deluxe,384.12,20,No
BK00158,CUST7300,2/9/2024,2/25/2024,2/29/2024,Website,Points Redemption,Non-Member,Deluxe,625.06,5,Yes
BK00282,CUST6164,2/9/2024,2/10/2024,2/14/2024,Mobile App,Points Redemption,Gold,Deluxe,1252.25,15,Yes
BK00312,CUST5829,2/9/2024,2/19/2024,2/28/2024,Website,Credit Card,Non-Member,Presidential Suite,1242.25,10,Yes
BK00319,CUST4337,2/9/2024,2/27/2024,3/3/2024,Mobile App,Bank Transfer,Gold,Deluxe,375.38,10,No
BK00342,CUST7426,2/9/2024,3/2/2024,3/11/2024,Website,Bank Transfer,Non-Member,Suite,732.59,5,Yes
BK00393,CUST6488,2/9/2024,2/26/2024,2/29/2024,Website,Credit Card,Non-Member,Suite,768.48,0,No
BK00080,CUST8395,2/10/2024,2/23/2024,3/2/2024,Third-Party OTA,PayPal,Silver,Presidential Suite,1423.91,20,No
BK00109,CUST1082,2/10/2024,2/28/2024,3/9/2024,Website,Points Redemption,Gold,Suite,378.33,20,No
BK00336,CUST3413,2/10/2024,2/25/2024,2/26/2024,Website,PayPal,Non-Member,Standard,294.3,5,Yes
BK00419,CUST8326,2/10/2024,2/24/2024,3/3/2024,Third-Party OTA,Credit Card,Ambassador,Suite,1280.14,15,Yes
BK00498,CUST2282,2/10/2024,2/25/2024,3/6/2024,Mobile App,Bank Transfer,Ambassador,Suite,1082.78,15,No
BK00286,CUST6908,2/11/2024,2/25/2024,2/27/2024,Website,Credit Card,Platinum,Suite,673.63,10,Yes
BK00422,CUST9574,2/11/2024,3/3/2024,3/6/2024,Third-Party OTA,Credit Card,Ambassador,Suite,976.81,20,No
BK00039,CUST4129,2/12/2024,2/17/2024,2/22/2024,Website,PayPal,Platinum,Suite,746.54,5,Yes
BK00115,CUST7957,2/12/2024,2/23/2024,3/3/2024,Website,Credit Card,Ambassador,Suite,514.8,10,No
BK00159,CUST3726,2/12/2024,2/23/2024,2/28/2024,Mobile App,Points Redemption,Gold,Suite,665.56,5,Yes
BK00299,CUST7393,2/12/2024,3/11/2024,3/20/2024,Mobile App,Bank Transfer,Platinum,Presidential Suite,496.3,5,Yes
BK00350,CUST7689,2/12/2024,3/13/2024,3/20/2024,Mobile App,Bank Transfer,Non-Member,Presidential Suite,820.76,25,No
BK00476,CUST1758,2/12/2024,2/28/2024,3/7/2024,Website,Points Redemption,Platinum,Deluxe,391.74,10,No
BK00004,CUST5384,2/13/2024,3/8/2024,3/14/2024,Website,PayPal,Platinum,Deluxe,363.17,25,No
BK00043,CUST2374,2/13/2024,3/6/2024,3/7/2024,Mobile App,Bank Transfer,Silver,Suite,1166.56,5,No
BK00316,CUST5005,2/13/2024,2/22/2024,2/24/2024,Third-Party OTA,PayPal,Non-Member,Suite,302.26,20,No
BK00353,CUST7251,2/13/2024,2/19/2024,2/21/2024,Third-Party OTA,Bank Transfer,Non-Member,Standard,236.37,25,Yes
BK00398,CUST1988,2/13/2024,2/23/2024,2/25/2024,Mobile App,Credit Card,Gold,Standard,253.54,25,No
